lad21cd,lad21nm,itl221cd,itl221nm,itl121cd,itl121nm
E06000001,Hartlepool,TLC1,Tees Valley and Durham,TLC,North East (England)
E06000004,Stockton-on-Tees,TLC1,Tees Valley and Durham,TLC,North East (England)
E06000002,Middlesbrough,TLC1,Tees Valley and Durham,TLC,North East (England)
E06000003,Redcar and Cleveland,TLC1,Tees Valley and Durham,TLC,North East (England)
E06000005,Darlington,TLC1,Tees Valley and Durham,TLC,North East (England)
E06000047,County Durham,TLC1,Tees Valley and Durham,TLC,North East (England)
E06000057,Northumberland,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England)
E08000021,Newcastle upon Tyne,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England)
E08000022,North Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England)
E08000023,South Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England)
E08000037,Gateshead,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England)
E08000024,Sunderland,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England)
E07000026,Allerdale,TLD1,Cumbria,TLD,North West (England)
E07000027,Barrow-in-Furness,TLD1,Cumbria,TLD,North West (England)
E07000029,Copeland,TLD1,Cumbria,TLD,North West (England)
E07000028,Carlisle,TLD1,Cumbria,TLD,North West (England)
E07000030,Eden,TLD1,Cumbria,TLD,North West (England)
E07000031,South Lakeland,TLD1,Cumbria,TLD,North West (England)
E08000003,Manchester,TLD3,Greater Manchester,TLD,North West (England)
E08000006,Salford,TLD3,Greater Manchester,TLD,North West (England)
E08000009,Trafford,TLD3,Greater Manchester,TLD,North West (England)
E08000007,Stockport,TLD3,Greater Manchester,TLD,North West (England)
E08000008,Tameside,TLD3,Greater Manchester,TLD,North West (England)
E08000001,Bolton,TLD3,Greater Manchester,TLD,North West (England)
E08000010,Wigan,TLD3,Greater Manchester,TLD,North West (England)
E08000002,Bury,TLD3,Greater Manchester,TLD,North West (England)
E08000004,Oldham,TLD3,Greater Manchester,TLD,North West (England)
E08000005,Rochdale,TLD3,Greater Manchester,TLD,North West (England)
E06000008,Blackburn with Darwen,TLD4,Lancashire,TLD,North West (England)
E06000009,Blackpool,TLD4,Lancashire,TLD,North West (England)
E07000121,Lancaster,TLD4,Lancashire,TLD,North West (England)
E07000128,Wyre,TLD4,Lancashire,TLD,North West (England)
E07000119,Fylde,TLD4,Lancashire,TLD,North West (England)
E07000123,Preston,TLD4,Lancashire,TLD,North West (England)
E07000124,Ribble Valley,TLD4,Lancashire,TLD,North West (England)
E07000126,South Ribble,TLD4,Lancashire,TLD,North West (England)
E07000117,Burnley,TLD4,Lancashire,TLD,North West (England)
E07000120,Hyndburn,TLD4,Lancashire,TLD,North West (England)
E07000122,Pendle,TLD4,Lancashire,TLD,North West (England)
E07000125,Rossendale,TLD4,Lancashire,TLD,North West (England)
E07000118,Chorley,TLD4,Lancashire,TLD,North West (England)
E07000127,West Lancashire,TLD4,Lancashire,TLD,North West (England)
E06000007,Warrington,TLD6,Cheshire,TLD,North West (England)
E06000049,Cheshire East,TLD6,Cheshire,TLD,North West (England)
E06000050,Cheshire West and Chester,TLD6,Cheshire,TLD,North West (England)
E06000006,Halton,TLD7,Merseyside,TLD,North West (England)
E08000011,Knowsley,TLD7,Merseyside,TLD,North West (England)
E08000013,St. Helens,TLD7,Merseyside,TLD,North West (England)
E08000012,Liverpool,TLD7,Merseyside,TLD,North West (England)
E08000014,Sefton,TLD7,Merseyside,TLD,North West (England)
E08000015,Wirral,TLD7,Merseyside,TLD,North West (England)
E06000010,"Kingston upon Hull, City of",TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber
E06000011,East Riding of Yorkshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber
E06000012,North East Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber
E06000013,North Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber
E06000014,York,TLE2,North Yorkshire,TLE,Yorkshire and The Humber
E06000019,"Herefordshire, County of",TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
